title,Score,Genre,Date,duree,Descriptions,Acteurs,Public
Stranger Things,8.7,"Drama,Fantasy,Horror",2016– ,51,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Millie Bobby Brown,Finn Wolfhard,Winona Ryder",TV-14
Battlestar Galactica,8.7,"Action,Adventure,Drama",2004–2009,44,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.","Glen A. Larson,Ronald D. Moore,Edward James Olmos,Mary McDonnell,Jamie Bamber",TV-14
House,8.7,"Drama,Mystery",2004–2012,44,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"David Shore,Hugh Laurie,Omar Epps,Robert Sean Leonard",TV-14
The Shield,8.7,"Crime,Drama,Thriller",2002–2008,47,Drama series following the lives and cases of dirty cop Vic Mackey and the LAPD unit under his command.,"Shawn Ryan,Michael Chiklis,Jay Karnes,Michael Jace",TV-MA
Fleabag,8.7,"Comedy,Drama",2016–2019,27,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"Phoebe Waller-Bridge,Phoebe Waller-Bridge,Sian Clifford,Olivia Colman",TV-MA
The Simpsons,8.7,"Animation,Comedy",1989– ,22,The satiric adventures of a working-class family in the misfit city of Springfield.,"James L. Brooks,Matt Groening,Sam Simon,Dan Castellaneta,Nancy Cartwright,Harry Shearer",TV-14
One Punch Man,8.7,"Animation,Action,Comedy",2015–2019,24,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","Makoto Furukawa,Kaito Ishikawa,Max Mittelman",TV-PG
The Boys,8.7,"Action,Comedy,Crime",2019– ,1,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Eric Kripke,Karl Urban,Jack Quaid,Antony Starr",TV-MA
Arrested Development,8.7,Comedy,2003–2019,22,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","Mitchell Hurwitz,Jason Bateman,Michael Cera,Portia de Rossi",TV-14
Steins;Gate,8.8,"Animation,Comedy,Drama",2011–2015,24,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Mamoru Miyano,Asami Imai,Kana Hanazawa",TV-14
The Mandalorian,8.7,"Action,Adventure,Fantasy",2019– ,40,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Jon Favreau,Pedro Pascal,Carl Weathers,Giancarlo Esposito",TV-14
Dark,8.7,"Crime,Drama,Mystery",2017–2020,1,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","Baran bo Odar,Jantje Friese,Louis Hofmann,Karoline Eichhorn,Lisa Vicari",TV-MA
Kota Factory,9.1,"Comedy,Drama",2019–2021,45,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Saurabh Khanna,Mayur More,Jitendra Kumar,Ranjan Raj",TV-14
Over the Garden Wall,8.8,"Animation,Short,Adventure",2014,22,Two brothers find themselves lost in a mysterious land and try to find their way home.,"Katie Krentz,Patrick McHale,Elijah Wood,Collin Dean,Melanie Lynskey",TV-PG
Oz,8.7,"Crime,Drama,Thriller",1997–2003,55,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,"Tom Fontana,Ernie Hudson,J.K. Simmons,Lee Tergesen",TV-MA
